afternoon,airlines,american,arriving,atlanta,available,baltimore,boston,cheapest,city,class,dallas,denver,fare,first,flight,flights,fly,francisco,give,ground,leaving,like,list,morning,need,oakland,one,philadelphia,pittsburgh,please,pm,round,san,show,transportation,trip,washington,wednesday,would,label
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3876551286173748,0.0,0.0,0.0,0.0,0.3969841332306281,0.0,0.0,0.0,0.0,0.5929748444753222,0.0,0.0,0.0,0.0,0.0,0.0,0.583530575924896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.5771518982612514,0.4185501215527307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2318643117733389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5220531831328072,0.0,0.0,0.0,0.0,0.4067073849691053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3565433675524748,0.0,0.0,0.3960006894806294,0.0,0.0,0.5406980343205844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375592659861332,0.0,0.0,0.0,0.5316352796093887,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4291137442941807,0.4067475419509004,0.0,0.0,0.5750573317577948,0.0,0.0,0.0,0.5654439819879017,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5103768616194576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8599508469229349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7778603081981298,0.0,0.0,0.0,0.6284372211525274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3987153043248527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6993765341845418,0.0,0.0,0.0,0.0,0.593210392296998,0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5316366590536389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3554284298224806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7687867675917756,0.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.5544711762778581,0.0,0.0,0.0,0.0,0.0,0.0,0.3412032241254791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5327691446125298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.540646939390449,0.0,0.0,0.0,0.0,4.0
